label,text
ham,"Tranquilo, no pasa nada, lo resolvemos el lunes."
spam,"Marca al 809-555-0135 para reclamar tu premio de AmazPrime, oferta vence hoy"
spam,"Enhorabuena, tu número ganó la lotería de NetFlixPro. Contacta al 809-555-0155"
ham,"Carlos, ya llegué a el centro comercial, avísame cuando estés cerca."
spam,CLICK AQUI para reclamar tu premio de CryptoBoom antes de que caduque: http://claim-now.co
spam,"Oferta exclusiva solo hoy: 90% de descuento en TeleMovil, no te la pierdas http://claim-now.co"
ham,"Sofía, te comparto mis apuntes de la clase de en 20 minutos."
ham,¿Estás libre esta noche o mejor lo dejamos para a las 5?
spam,"FREE GIFT esperándote, no te lo pierdas, reclama en http://bit.ly/premio ahora"
ham,"Nos juntamos en la reunión el sábado, lleva tu laptop."
ham,El profesor movió la clase para el sábado.
ham,"María dice que la reunión es en el café de siempre, confírmame si puedes ir."
ham,"Fernanda dice que la reunión es en la universidad, confírmame si puedes ir."
spam,100% GRATIS: Descarga la app y gana $250 al instante http://claim-now.co
ham,"Tranquilo, no pasa nada, lo resolvemos en 20 minutos."
spam,"Marca al 809-555-0110 para reclamar tu premio de TeleMovil, oferta vence hoy"
ham,"Nos juntamos en la reunión mañana, lleva tu laptop."
spam,"Invierte $5,000 hoy y multiplica tus ganancias con CryptoBoom. Info: http://free-gift.win"
spam,"Aprovecha ya! Créditos aprobados al instante hasta $2,500, sin aval: www.reclama-ya.net"
ham,¿Vamos a comer algo a las 5? Tengo hambre.
ham,"Ya entregué el pago de $5,000 de la universidad, guardé el recibo."
spam,"¡FELICIDADES! Has ganado un premio de $10,000. Reclama ahora en http://free-gift.win"
spam,URGENTE: Tu cuenta de ClickPremio será suspendida. Verifica ya en www.oferta-flash.com
ham,"Recuerda que la tarea se entrega después de clase, no lo olvides."
ham,"Hola Andrés, ¿nos vemos a las 8am en el gimnasio?"
ham,"Fernanda, ya llegué a el café de siempre, avísame cuando estés cerca."
ham,"Voy a estar fuera de la ciudad el viernes, cualquier cosa me escribes."
ham,"Hola Carlos, ¿nos vemos mañana en la oficina?"
